Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,Range
M805287,8,otc alterations permit,07/06/2017,3541,001,106,,Sanchez,St,,,street space,issued,07/06/2017,07/06/2017,07/06/2017,,07/06/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Castro/Upper Market,94114.0,"(37.767349757757145, -122.43140682973024)",1469445246849.0,200
M805907,8,otc alterations permit,07/07/2017,0829,021,675,,Fell,St,,,street space,issued,07/07/2017,07/07/2017,07/07/2017,,07/07/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Hayes Valley,94102.0,"(37.774914087334544, -122.42886839796792)",146961582526.0,88
M806447,8,otc alterations permit,07/10/2017,6537,023,4082,,25th,St,,,street space,issued,07/10/2017,07/10/2017,07/10/2017,,07/10/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Noe Valley,94114.0,"(37.75006779619502, -122.43127350268124)",1469781206718.0,88
201707252846,8,otc alterations permit,07/25/2017,6589,002R,681,,27th,St,,,remove and replace landscape wall,filed,07/25/2017,07/25/2017,,,,,2.0,2.0,,,,30000.0,0.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94131.0,"(37.7462205625642, -122.4353484860549)",1471799208305.0,12
M813729,8,otc alterations permit,07/26/2017,1049,027,2761,,Pine,St,,,street space,issued,07/26/2017,07/26/2017,07/26/2017,,07/26/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Pacific Heights,94115.0,"(37.78676200041077, -122.44124093333335)",147203988249.0,58
M813907,8,otc alterations permit,07/27/2017,0243,043,840,,Powell,St,301.0,,street space,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Chinatown,94108.0,"(37.7926690651263, -122.40883941791454)",147208763456.0,250
M813967,8,otc alterations permit,07/27/2017,0268,008,220,,Montgomery,St,,,street space permit,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Financial District/South Beach,94104.0,"(37.79130641988351, -122.40198579459195)",147211866168.0,39
M814148,8,otc alterations permit,07/27/2017,3621,097,3707,,21st,St,0.0,,street space & sidewalk repair,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Noe Valley,94114.0,"(37.75607840165479, -122.43041143390109)",1472184412108.0,87
201707283165,8,otc alterations permit,07/28/2017,0472,042,1307,,Bay,St,1.0,,soft story ordinance sf building code chptr 34b and fema p807,filed,07/28/2017,07/28/2017,,,,,4.0,4.0,,,,75000.0,0.0,apartments,6.0,apartments,6.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.8035183252307, -122.42863180996076)",1472277302360.0,46
M814368,8,otc alterations permit,07/28/2017,2659,001,263,,Corbett,Av,0.0,,street space,issued,07/28/2017,07/28/2017,07/28/2017,,07/28/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Castro/Upper Market,94114.0,"(37.761092365437214, -122.44402154957145)",1472295408612.0,88
M814967,8,otc alterations permit,07/31/2017,1176,068,1624,,Fulton,St,,,street space,issued,07/31/2017,07/31/2017,07/31/2017,,07/31/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Lone Mountain/USF,94117.0,"(37.77640228859421, -122.44361679686382)",1472619503582.0,81
201708013476,8,otc alterations permit,08/01/2017,6529,010,3410,,26th,St,,,repair fire damage to comply with nov #201551241.,filed,08/01/2017,08/01/2017,,,,,2.0,2.0,,,,100000.0,0.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.74914175355125, -122.41849211166853)",1472727381751.0,37
201708013544,3,additions alterations or repairs,08/01/2017,0074,043,2150,,Taylor,St,,,"soft story retrofit per sfebc chapter 4d, asce 41-06.",filed,08/01/2017,08/01/2017,,,,,3.0,3.0,,,,100000.0,,apartments,6.0,apartments,6.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,Russian Hill,94133.0,"(37.802405951667645, -122.41446286561653)",147281357792.0,25
M816927,8,otc alterations permit,08/07/2017,0941,012,2824,,Filbert,St,,,street space,issued,08/07/2017,08/07/2017,08/07/2017,,08/07/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.79697456740493, -122.44615769723546)",147359384812.0,77
201708084249,8,otc alterations permit,08/08/2017,0542,039,1,,Charlton,Ct,,,re-roofing,issued,08/08/2017,08/08/2017,08/08/2017,,08/08/2017,,4.0,4.0,,,08/08/2018,64650.0,64650.0,apartments,9.0,apartments,9.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.79739093461306, -122.43127133823367)",1473796372030.0,72
201708165014,8,otc alterations permit,08/16/2017,1824,006,1435,,29th,Av,,,re-roofing,issued,08/16/2017,08/16/2017,08/16/2017,,08/16/2017,,2.0,2.0,,,02/16/2018,7000.0,7000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.76052279949518, -122.4879889739165)",1474841115935.0,9
M820728,8,otc alterations permit,08/18/2017,1449,006,331,,17th,Av,,,street space,issued,08/18/2017,08/18/2017,08/18/2017,,08/18/2017,,,,,,,,1.0,,,,,,,,,,,,1.0,Outer Richmond,94121.0,"(37.78177022745135, -122.47658979438802)",1475223100163.0,20
M821207,8,otc alterations permit,08/21/2017,1193,024,120,,Shrader,St,,,street space & sidewalk repair,issued,08/21/2017,08/21/2017,08/21/2017,,08/21/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Lone Mountain/USF,94117.0,"(37.77371007080848, -122.45243180846707)",147537591942.0,80
M821268,8,otc alterations permit,08/21/2017,1851,012,1512,,06th,Av,,,street space,issued,08/21/2017,08/21/2017,08/21/2017,,08/21/2017,,,,,,,,1.0,,,,,,,,,,,,7.0,Inner Sunset,94122.0,"(37.760252335082875, -122.4625393396095)",1475405117215.0,69
M821847,8,otc alterations permit,08/22/2017,0326,001,165,,Powell,St,,,street space,issued,08/22/2017,08/22/2017,08/22/2017,,08/22/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Tenderloin,94102.0,"(37.78625524960107, -122.40834431815433)",1475605447747.0,79
M822307,8,otc alterations permit,08/23/2017,0182,004,1441,,Taylor,St,0.0,,street space,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Nob Hill,94133.0,"(37.79566333315149, -122.41363462406336)",1475757406474.0,47
M822487,8,otc alterations permit,08/23/2017,3580,017,3830,,18th,St,0.0,,street space permit,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Castro/Upper Market,94114.0,"(37.761512899115466, -122.42911964946909)",1475795422554.0,64
M822707,8,otc alterations permit,08/23/2017,3610,041,563,,Capp,St,,,street space,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,0.0,,,,,,,,,,,,9.0,Mission,94110.0,"(37.75771026684177, -122.4175528755785)",1475838161926.0,82
201708245836,3,additions alterations or repairs,08/24/2017,3749,047,76,,Lansing,St,,,"mandatory soft-story compliance per sfebc ch.4d, criteria fema p807 & asce 41-13.",approved,12/14/2017,08/24/2017,,,,,3.0,3.0,,,,73000.0,73000.0,apartments,6.0,apartments,6.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,6.0,Financial District/South Beach,94105.0,"(37.78595425737664, -122.39444130117158)",1476032285416.0,99
M823847,8,otc alterations permit,08/25/2017,3545,018A,1810,,15th,St,,,street space,issued,08/25/2017,08/25/2017,08/25/2017,,08/25/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Mission,94103.0,"(37.766508011617525, -122.42470825254468)",1476234157693.0,88
M824007,8,otc alterations permit,08/25/2017,0749,006A,1445,,Eddy,St,,,street space,issued,08/25/2017,08/25/2017,08/25/2017,,08/25/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Western Addition,94115.0,"(37.7813061748427, -122.43142154292566)",147627380882.0,49
M824127,8,otc alterations permit,08/28/2017,6551,023,1383,,Church,St,,,street space,issued,08/28/2017,08/28/2017,08/28/2017,,08/28/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Noe Valley,94114.0,"(37.748779856735744, -122.42683572581998)",1476358207225.0,29
M824927,8,otc alterations permit,08/29/2017,6597,024,681,,San Jose,Av,,,street space,issued,08/29/2017,08/29/2017,08/29/2017,,08/29/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Bernal Heights,94110.0,"(37.74446179156465, -122.42217241874201)",1476706208668.0,19
M825267,8,otc alterations permit,08/29/2017,1572,017,606,,30th,Av,,,street space,issued,08/29/2017,08/29/2017,08/29/2017,,08/29/2017,,,,,,,,1.0,,,,,,,,,,,,1.0,Outer Richmond,94121.0,"(37.77767213358907, -122.48966493609916)",1476720105056.0,19
M828787,8,otc alterations permit,09/07/2017,0177,022,655,,Pacific,Av,0.0,,street space,issued,09/07/2017,09/07/2017,09/07/2017,,09/07/2017,,,,,,,,0.0,,,,,,,,,,,,3.0,Chinatown,94133.0,"(37.79673343870443, -122.40610115140781)",1477872407335.0,14
M829567,8,otc alterations permit,09/08/2017,0490,002,3325,,Steiner,St,,,street space,issued,09/08/2017,09/08/2017,09/08/2017,,09/08/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.80002156448977, -122.43806594677513)",147813971761.0,39
M832207,8,otc alterations permit,09/15/2017,1609,021F,700,,36th,Av,,,street space,issued,09/15/2017,09/15/2017,09/15/2017,,09/15/2017,,,,,,,,1.0,,,,,,,,,,,,1.0,Outer Richmond,94121.0,"(37.77554028396788, -122.49601102992328)",1479528106617.0,32
201709158571,8,otc alterations permit,09/15/2017,1429,010,249,,04th,Av,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4,filed,09/15/2017,09/15/2017,,,,,3.0,3.0,,,,18000.0,0.0,apartments,6.0,apartments,6.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Inner Richmond,94118.0,"(37.7839252036892, -122.46267353170244)",1479741242383.0,65
M833229,8,otc alterations permit,09/19/2017,0605,028,2379,,Jackson,St,1.0,,street space,issued,09/19/2017,09/19/2017,09/19/2017,,09/19/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Pacific Heights,94115.0,"(37.792266300903314, -122.4340191358936)",1480161420671.0,9
M834107,8,otc alterations permit,09/21/2017,7151,014,247,,Saint Charles,Av,0.0,,street space,issued,09/21/2017,09/21/2017,09/21/2017,,09/21/2017,,,,,,,,1.0,,,,,,,,,,,,7.0,Oceanview/Merced/Ingleside,94132.0,"(37.70944796125683, -122.4690186732598)",1480578483312.0,57
M836287,8,otc alterations permit,09/27/2017,0540,002,2843,,Webster,St,,,street space,issued,09/27/2017,09/27/2017,09/27/2017,,09/27/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.79686934709798, -122.43412132328224)",1481221235128.0,32
M836847,8,otc alterations permit,09/28/2017,0959,029,2615,,Divisadero,St,,,street space,issued,09/28/2017,09/28/2017,09/28/2017,,09/28/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Pacific Heights,94123.0,"(37.79391508281414, -122.44195481827035)",1481434475430.0,31
M839427,8,otc alterations permit,10/04/2017,6780,034,252,,Cotter,St,,,street space,issued,10/04/2017,10/04/2017,10/04/2017,,10/04/2017,,,,,,,,1.0,,,,,,,,,,,,11.0,Outer Mission,94112.0,"(37.729885737657085, -122.43669590253097)",1482203213002.0,74
201710110928,8,otc alterations permit,10/11/2017,5934,020,938,,Felton,St,,,reroofing,complete,10/31/2017,10/11/2017,10/11/2017,10/31/2017,10/11/2017,,2.0,2.0,,,04/11/2018,14000.0,14000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Portola,94134.0,"(37.72775517946509, -122.41419227409298)",1482932191681.0,23
M842668,8,otc alterations permit,10/11/2017,1558,009,535,,15th,Av,,,street space pmerit,issued,10/11/2017,10/11/2017,10/11/2017,,10/11/2017,,,,,,,,1.0,,,,,,,,,,,,1.0,Outer Richmond,94118.0,"(37.777944902487455, -122.47412411653805)",1482945104295.0,35
M842987,8,otc alterations permit,10/11/2017,0797,022,896,,Fillmore,St,,,street space,issued,10/11/2017,10/11/2017,10/11/2017,,10/11/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Hayes Valley,94117.0,"(37.777501464434096, -122.4313176580435)",148301981818.0,75
M843007,8,otc alterations permit,10/12/2017,1095,005,2425,,Geary,Bl,,,street space,issued,10/12/2017,10/12/2017,10/12/2017,,10/12/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Lone Mountain/USF,94115.0,"(37.78231492051284, -122.44311204170013)",148305089457.0,55
M843807,8,otc alterations permit,10/13/2017,0024,011C,2718,,Hyde,St,,,street space for pa201709279745,reinstated,10/20/2017,10/13/2017,10/13/2017,,10/13/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Russian Hill,94109.0,"(37.806017225478456, -122.42015526260425)",1483314449819.0,28
M845227,8,otc alterations permit,10/17/2017,1431,028,264,,03rd,Av,,,street space & sidewalk repair,issued,10/17/2017,10/17/2017,10/17/2017,,10/17/2017,,,,,,,,1.0,,,,,,,,,,,,1.0,Inner Richmond,94118.0,"(37.78372760851531, -122.46092340202318)",148365099485.0,34
M845327,8,otc alterations permit,10/17/2017,0299,019,861,,Sutter,St,,,street space,issued,10/17/2017,10/17/2017,10/17/2017,,10/17/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Nob Hill,94109.0,"(37.788197996005636, -122.41442324510548)",148367767222.0,0
201710242043,7,wall or painted sign,10/24/2017,8702,611,274,,King,St,,,re-face (1) existing projecting sign. maher na,filed,10/24/2017,10/24/2017,,,,,,,,,,1000.0,,,,,,2.0,,,,,,,6.0,Mission Bay,94107.0,"(37.777642220223974, -122.39341813656613)",1484475491468.0,0
M849547,8,otc alterations permit,10/30/2017,6165,013,66,,Mill,St,,,street space,issued,10/30/2017,10/30/2017,10/30/2017,,10/30/2017,,,,,,,,1.0,,,,,,,,,,,,10.0,Visitacion Valley,94134.0,"(37.71876662168294, -122.40622225145289)",1485323197290.0,36
M851827,8,otc alterations permit,11/03/2017,2038A,026,1730,,12th,Av,,,street space,issued,11/03/2017,11/03/2017,11/03/2017,,11/03/2017,,,,,,,,1.0,,,,,,,,,,,,7.0,Inner Sunset,94122.0,"(37.7558354230817, -122.46863203513271)",1485949122974.0,53
M853107,8,otc alterations permit,11/07/2017,3763,022,483,,03rd,St,,,street space and mta permits,issued,11/07/2017,11/07/2017,11/07/2017,,11/07/2017,,,,,,,,1.0,,,,,,,,,,,,6.0,Financial District/South Beach,94107.0,"(37.78174763474234, -122.39596460976995)",1486300270248.0,5
M853247,8,otc alterations permit,11/07/2017,0640,029,1809,,Gough,St,201.0,,street space permit,issued,11/07/2017,11/07/2017,11/07/2017,,11/07/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Pacific Heights,94109.0,"(37.790448830284234, -122.42601228372914)",148636077367.0,38
M854087,8,otc alterations permit,11/09/2017,0991,049,3953,,Washington,St,,,street space,issued,11/09/2017,11/09/2017,11/09/2017,,11/09/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Presidio Heights,94118.0,"(37.78826160313802, -122.45839792897874)",148657386294.0,17
M854747,8,otc alterations permit,11/13/2017,0249,023,1571,,Sacramento,St,,,street space permit,issued,11/13/2017,11/13/2017,11/13/2017,,11/13/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Nob Hill,94109.0,"(37.79160220196534, -122.41866491945744)",1486848233227.0,79
M854907,8,otc alterations permit,11/13/2017,3590,013,3320,,19th,St,,,street space,issued,11/13/2017,11/13/2017,11/13/2017,,11/13/2017,,,,,,,,1.0,,,,,,,,,,,,9.0,Mission,94110.0,"(37.760524816501416, -122.41758272141853)",1486892160576.0,4
M855127,8,otc alterations permit,11/13/2017,1252,042,718,,Cole,St,,,street space permit,issued,11/13/2017,11/13/2017,11/13/2017,,11/13/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Haight Ashbury,94117.0,"(37.76807732513583, -122.45007833970155)",148693293842.0,42
201711154040,3,additions alterations or repairs,11/15/2017,6969,001,5050,,Mission,St,,,fire alarm system for appln #201006104250,filed,11/15/2017,11/15/2017,,,,,,,,,,,,,,,,2.0,,,,,,,11.0,Outer Mission,94112.0,"(37.71772263199437, -122.44060092814006)",1487232215636.0,58
M857329,8,otc alterations permit,11/17/2017,4024,003,624,,Hampshire,St,,,street space,issued,11/17/2017,11/17/2017,11/17/2017,,11/17/2017,,,,,,,,1.0,,,,,,,,,,,,10.0,Mission,94110.0,"(37.761456067566776, -122.40846096212044)",1487606168850.0,31
M857707,8,otc alterations permit,11/20/2017,5666,010,156,,Wool,St,,,streetspace,issued,11/20/2017,11/20/2017,11/20/2017,,11/20/2017,,,,,,,,0.0,,,,,,,,,,,,9.0,Bernal Heights,94110.0,"(37.73977153028013, -122.41727389222731)",1487758186316.0,1
M858789,8,otc alterations permit,11/27/2017,0912,002A,1856,,Jefferson,St,,,street space prmit,issued,11/27/2017,11/27/2017,11/27/2017,,11/27/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.80500098348984, -122.44312789248019)",1488277383243.0,65
201711274868,8,otc alterations permit,11/27/2017,1744,039,1241,,06th,Av,,,install 6 vinyl windows size for size on back wall,issued,11/27/2017,11/27/2017,11/27/2017,,11/27/2017,,2.0,2.0,,,05/27/2018,6000.0,6000.0,apartments,3.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Inner Sunset,94122.0,"(37.76535779270799, -122.46346983597869)",1488409505430.0,41
M859867,8,otc alterations permit,11/28/2017,2417,007,2563,,16th,Av,,,street space,issued,11/28/2017,11/28/2017,11/28/2017,,11/28/2017,,,,,,,,1.0,,,,,,,,,,,,7.0,West of Twin Peaks,94116.0,"(37.74014357143049, -122.47259785447889)",1488583135209.0,57
M860867,8,otc alterations permit,11/30/2017,0187,001,1455,,Leavenworth,St,0.0,,street space,issued,11/30/2017,11/30/2017,11/30/2017,,11/30/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Russian Hill,94109.0,"(37.794608915442694, -122.41666671768017)",1488825295447.0,35
M861547,8,otc alterations permit,12/01/2017,0327,018,165,,Ofarrell,St,,,street space permit - renewal of permit # m783367,issued,12/01/2017,12/01/2017,12/01/2017,,12/01/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Financial District/South Beach,94102.0,"(37.78622455286341, -122.40734672057884)",148899669772.0,11
M863107,8,otc alterations permit,12/05/2017,1676,001H,835,,33rd,Av,,,street space,issued,12/05/2017,12/05/2017,12/05/2017,,12/05/2017,,,,,,,,1.0,,,,,,,,,,,,1.0,Outer Richmond,94121.0,"(37.7731864648277, -122.4931642429677)",1489437109713.0,46
M863627,8,otc alterations permit,12/06/2017,0473,007,1304,,Francisco,St,,,street space,issued,12/06/2017,12/06/2017,12/06/2017,,12/06/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.803097650767135, -122.4268812097281)",148959271288.0,82
M863967,8,otc alterations permit,12/07/2017,3728,008,1202,,Howard,St,,,street space,issued,12/07/2017,12/07/2017,12/07/2017,,12/07/2017,,,,,,,,1.0,,,,,,,,,,,,6.0,South of Market,94103.0,"(37.776258877899394, -122.4119816702891)",1489689438480.0,91
M864087,8,otc alterations permit,12/07/2017,1212,070,215,,Cole,St,1.0,,street space permit,issued,12/07/2017,12/07/2017,12/07/2017,,12/07/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Lone Mountain/USF,94117.0,"(37.77295138711437, -122.45120688231127)",1489729490648.0,0
M864147,8,otc alterations permit,12/07/2017,0510,013,2250,,Greenwich,St,,,street space,issued,12/07/2017,12/07/2017,12/07/2017,,12/07/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.79909185253604, -122.43683336533985)",148975672456.0,14
M864527,8,otc alterations permit,12/08/2017,0642,087,1700,,California,St,1007.0,,common area- street space & mta parking meter,issued,12/08/2017,12/08/2017,12/08/2017,,12/08/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Pacific Heights,94109.0,"(37.79055541147386, -122.4230298567197)",148986077468.0,99
M864647,8,otc alterations permit,12/08/2017,4097,045A,737,,Carolina,St,,,street space,issued,12/08/2017,12/08/2017,12/08/2017,,12/08/2017,,,,,,,,1.0,,,,,,,,,,,,10.0,Potrero Hill,94107.0,"(37.75927525128718, -122.39979001449888)",1489903170441.0,53
M859387,8,otc alterations permit,11/28/2017,3995,022,595,,Mariposa,St,,,street space permit - renewal of permit #m842087,issued,12/08/2017,11/28/2017,12/08/2017,,12/08/2017,,,,,,,,1.0,,,,,,,,,,,,10.0,Potrero Hill,94107.0,"(37.7641409841946, -122.38952857235172)",1489946168430.0,12
M865207,8,otc alterations permit,12/11/2017,0993,012,3778,,Clay,St,,,strwet space permit,issued,12/11/2017,12/11/2017,12/11/2017,,12/11/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Presidio Heights,94118.0,"(37.78829850083694, -122.45506041199897)",149010386340.0,42
M867767,8,otc alterations permit,12/18/2017,0185,013,1446,,Jackson,St,,,street space,issued,12/18/2017,12/18/2017,12/18/2017,,12/18/2017,,,,,,,,1.0,,,,,,,,,,,,3.0,Russian Hill,94109.0,"(37.79471233986647, -122.41898268036178)",149094761908.0,84
201712196846,3,additions alterations or repairs,12/19/2017,2611,042,2,,Castro,St,0.0,,to comply with nov 201719241 seismic retrofit. 2016 cebc appendix a-4,filed,12/19/2017,12/19/2017,,,,,3.0,3.0,,,,40000.0,,apartments,8.0,apartments,8.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.76879786581987, -122.43595233495957)",1491120401988.0,75
201712207002,1,new construction,12/20/2017,4991,085,250,,Executive Park,Bl,,,bldg 7. erect a type i&iii (5) story (3) basement 167 dwelling unit and retail building. maher n/a,filed,12/20/2017,12/20/2017,,,,,,5.0,,,,25000000.0,,,,apartments,74.0,2.0,,,,1.0,constr type 1,Y,10.0,Bayview Hunters Point,94134.0,"(37.710262656811906, -122.39181337034003)",1491353177117.0,68
M869807,8,otc alterations permit,12/22/2017,0474,036,1111,,Bay,St,201.0,,street space,issued,12/22/2017,12/22/2017,12/22/2017,,12/22/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.80383760408627, -122.425481726898)",149161771342.0,6
